metric,value
num_repair_attempts,174
num_target_constraints,272
target_fixed_rate,0.7426
image_fixed_rate,0.4253
constraint_before_pass_rate,0.7466
constraint_after_pass_rate,0.8760
constraint_pass_rate_delta,0.1294
image_before_pass_rate,0.1494
image_after_pass_rate,0.5402
image_pass_rate_delta,0.3908
repair_regression_rate,0.1322
avg_regression_count,0.1379
total_regressions,24
total_hard_regressions,21
total_soft_regressions,3
unnecessary_repair_count,26
unnecessary_repair_rate,0.1494
unnecessary_repair_regression_count,6
unnecessary_repair_regression_rate,0.2308
