metric,value
num_repair_attempts,93
num_target_constraints,170
target_fixed_rate,0.8000
image_fixed_rate,0.3441
constraint_before_pass_rate,0.7855
constraint_after_pass_rate,0.8828
constraint_pass_rate_delta,0.0973
image_before_pass_rate,0.2796
image_after_pass_rate,0.5591
image_pass_rate_delta,0.2796
repair_regression_rate,0.1505
avg_regression_count,0.1613
total_regressions,15
total_hard_regressions,14
total_soft_regressions,1
unnecessary_repair_count,26
unnecessary_repair_rate,0.2796
unnecessary_repair_regression_count,6
unnecessary_repair_regression_rate,0.2308
